distance,pair,value
4,1_5,544.75
5,2_7,557
6,3_9,477.4
7,1_8,486
8,1_9,528.8
1,5_6,659.8
2,3_5,575.8
3,1_4,565.6
4,3_7,568.4
5,2_7,557
6,3_9,477.4
7,2_9,527
8,1_9,528.8
1,3_4,559.6
2,1_3,592
3,3_6,600.2
4,1_5,544.75
5,1_6,465.6
6,3_9,477.4
7,1_8,486
8,1_9,528.8
1,6_7,528.4
2,2_4,549
3,2_5,599.4
4,3_7,568.4
5,2_7,557
6,3_9,477.4
7,1_8,486
8,1_9,528.8
1,1_2,584.4
2,1_3,592
3,4_7,649.6
4,2_6,550.25
5,3_8,520.2
6,1_7,447.6
7,1_8,486
8,1_9,528.8
1,7_8,589.25
2,7_9,573.75
3,2_5,599.4
4,5_9,578.2
5,4_9,576.4
6,1_7,447.6
7,1_8,486
8,1_9,528.8
1,4_5,602
2,5_7,605.6
3,4_7,649.6
4,2_6,550.25
5,2_7,557
6,2_8,576
7,2_9,527
8,1_9,528.8
1,6_7,528.4
2,4_6,595
3,6_9,659
4,4_8,512
5,4_9,576.4
6,3_9,477.4
7,1_8,486
8,1_9,528.8
1,5_6,659.8
2,2_4,549
3,1_4,565.6
4,5_9,578.2
5,1_6,465.6
6,3_9,477.4
7,2_9,527
8,1_9,528.8
1,6_7,528.4
2,6_8,623.6
3,4_7,649.6
4,3_7,568.4
5,1_6,465.6
6,2_8,576
7,1_8,486
8,1_9,528.8
1,3_4,559.6
2,6_8,623.6
3,1_4,565.6
4,4_8,512
5,4_9,576.4
6,1_7,447.6
7,1_8,486
8,1_9,528.8
1,1_2,584.4
2,1_3,592
3,5_8,738.75
4,2_6,550.25
5,2_7,557
6,2_8,576
7,2_9,527
8,1_9,528.8
1,5_6,659.8
2,6_8,623.6
3,1_4,565.6
4,2_6,550.25
5,3_8,520.2
6,1_7,447.6
7,2_9,527
8,1_9,528.8
1,2_3,698.4
2,2_4,549
3,6_9,659
4,1_5,544.75
5,1_6,465.6
6,1_7,447.6
7,1_8,486
8,1_9,528.8
1,8_9,702
2,7_9,573.75
3,4_7,649.6
4,5_9,578.2
5,4_9,576.4
6,2_8,576
7,2_9,527
8,1_9,528.8
1,4_5,602
2,5_7,605.6
3,4_7,649.6
4,4_8,512
5,2_7,557
6,1_7,447.6
7,2_9,527
8,1_9,528.8
1,2_3,698.4
2,2_4,549
3,5_8,738.75
4,3_7,568.4
5,2_7,557
6,1_7,447.6
7,2_9,527
8,1_9,528.8
1,8_9,702
2,6_8,623.6
3,1_4,565.6
4,3_7,568.4
5,4_9,576.4
6,2_8,576
7,2_9,527
8,1_9,528.8
1,5_6,659.8
2,5_7,605.6
3,1_4,565.6
4,4_8,512
5,3_8,520.2
6,2_8,576
7,2_9,527
8,1_9,528.8
1,2_3,698.4
2,6_8,623.6
3,4_7,649.6
4,2_6,550.25
5,4_9,576.4
6,2_8,576
7,2_9,527
8,1_9,528.8
1,5_6,659.8
2,1_3,592
3,1_4,565.6
4,3_7,568.4
5,2_7,557
6,1_7,447.6
7,2_9,527
8,1_9,528.8
1,7_8,589.25
2,3_5,575.8
3,1_4,565.6
4,5_9,578.2
5,4_9,576.4
6,1_7,447.6
7,1_8,486
8,1_9,528.8
1,2_3,698.4
2,2_4,549
3,6_9,659
4,4_8,512
5,4_9,576.4
6,2_8,576
7,2_9,527
8,1_9,528.8
1,8_9,702
2,1_3,592
3,3_6,600.2
4,3_7,568.4
5,1_6,465.6
6,3_9,477.4
7,1_8,486
8,1_9,528.8
1,8_9,702
2,5_7,605.6
3,6_9,659
4,2_6,550.25
5,1_6,465.6
6,1_7,447.6
7,2_9,527
8,1_9,528.8
1,4_5,602
2,7_9,573.75
3,2_5,599.4
4,2_6,550.25
5,3_8,520.2
6,1_7,447.6
7,2_9,527
8,1_9,528.8
1,7_8,589.25
2,4_6,595
3,5_8,738.75
4,4_8,512
5,3_8,520.2
6,1_7,447.6
7,1_8,486
8,1_9,528.8
1,1_2,584.4
2,4_6,595
3,1_4,565.6
4,5_9,578.2
5,1_6,465.6
6,2_8,576
7,2_9,527
8,1_9,528.8
1,4_5,602
2,4_6,595
3,6_9,659
4,1_5,544.75
5,2_7,557
6,3_9,477.4
7,1_8,486
8,1_9,528.8
1,5_6,659.8
2,6_8,623.6
3,2_5,599.4
4,3_7,568.4
5,1_6,465.6
6,1_7,447.6
7,2_9,527
8,1_9,528.8
1,8_9,702
2,2_4,549
3,4_7,649.6
4,1_5,544.75
5,4_9,576.4
6,2_8,576
7,1_8,486
8,1_9,528.8
1,6_7,528.4
2,6_8,623.6
3,4_7,649.6
4,2_6,550.25
5,2_7,557
6,3_9,477.4
7,2_9,527
8,1_9,528.8
1,7_8,589.25
2,5_7,605.6
3,2_5,599.4
4,5_9,578.2
5,1_6,465.6
6,3_9,477.4
7,1_8,486
8,1_9,528.8
1,5_6,659.8
2,6_8,623.6
3,1_4,565.6
4,5_9,578.2
5,2_7,557
6,3_9,477.4
7,2_9,527
8,1_9,528.8
1,2_3,698.4
2,2_4,549
3,5_8,738.75
4,1_5,544.75
5,4_9,576.4
6,1_7,447.6
7,1_8,486
8,1_9,528.8
1,7_8,589.25
2,6_8,623.6
3,1_4,565.6
4,3_7,568.4
5,1_6,465.6
6,3_9,477.4
7,1_8,486
8,1_9,528.8
1,3_4,559.6
2,5_7,605.6
3,4_7,649.6
4,3_7,568.4
5,1_6,465.6
6,2_8,576
7,2_9,527
8,1_9,528.8
1,5_6,659.8
2,2_4,549
3,2_5,599.4
4,3_7,568.4
5,1_6,465.6
6,1_7,447.6
7,2_9,527
8,1_9,528.8
1,6_7,528.4
2,4_6,595
3,3_6,600.2
4,5_9,578.2
5,4_9,576.4
6,2_8,576
7,1_8,486
8,1_9,528.8
1,4_5,602
2,5_7,605.6
3,3_6,600.2
4,5_9,578.2
5,1_6,465.6
6,2_8,576
7,1_8,486
8,1_9,528.8
1,3_4,559.6
2,4_6,595
3,1_4,565.6
4,3_7,568.4
5,4_9,576.4
6,3_9,477.4
7,2_9,527
8,1_9,528.8
1,4_5,602
2,2_4,549
3,4_7,649.6
4,5_9,578.2
5,1_6,465.6
6,3_9,477.4
7,1_8,486
8,1_9,528.8
1,5_6,659.8
2,1_3,592
3,6_9,659
4,2_6,550.25
5,3_8,520.2
6,3_9,477.4
7,2_9,527
8,1_9,528.8
1,4_5,602
2,5_7,605.6
3,2_5,599.4
4,5_9,578.2
5,2_7,557
6,3_9,477.4
7,2_9,527
8,1_9,528.8
1,7_8,589.25
2,5_7,605.6
3,5_8,738.75
4,5_9,578.2
5,2_7,557
6,1_7,447.6
7,2_9,527
8,1_9,528.8
1,5_6,659.8
2,6_8,623.6
3,3_6,600.2
4,5_9,578.2
5,4_9,576.4
6,2_8,576
7,2_9,527
8,1_9,528.8
1,4_5,602
2,6_8,623.6
3,1_4,565.6
4,3_7,568.4
5,2_7,557
6,1_7,447.6
7,1_8,486
8,1_9,528.8
1,8_9,702
2,4_6,595
3,1_4,565.6
4,3_7,568.4
5,2_7,557
6,1_7,447.6
7,2_9,527
8,1_9,528.8
1,7_8,589.25
2,2_4,549
3,5_8,738.75
4,5_9,578.2
5,3_8,520.2
6,3_9,477.4
7,2_9,527
8,1_9,528.8
1,2_3,698.4
2,1_3,592
3,3_6,600.2
4,4_8,512
5,3_8,520.2
6,2_8,576
7,2_9,527
8,1_9,528.8
1,4_5,602
2,3_5,575.8
3,3_6,600.2
4,3_7,568.4
5,4_9,576.4
6,1_7,447.6
7,2_9,527
8,1_9,528.8
1,4_5,602
2,7_9,573.75
3,5_8,738.75
4,4_8,512
5,3_8,520.2
6,2_8,576
7,1_8,486
8,1_9,528.8
1,4_5,602
2,5_7,605.6
3,1_4,565.6
4,4_8,512
5,1_6,465.6
6,2_8,576
7,1_8,486
8,1_9,528.8
1,4_5,602
2,7_9,573.75
3,2_5,599.4
4,3_7,568.4
5,4_9,576.4
6,2_8,576
7,1_8,486
8,1_9,528.8
1,3_4,559.6
2,2_4,549
3,1_4,565.6
4,1_5,544.75
5,3_8,520.2
6,3_9,477.4
7,2_9,527
8,1_9,528.8
1,7_8,589.25
2,4_6,595
3,6_9,659
4,1_5,544.75
5,3_8,520.2
6,2_8,576
7,2_9,527
8,1_9,528.8
1,5_6,659.8
2,6_8,623.6
3,5_8,738.75
4,2_6,550.25
5,1_6,465.6
6,2_8,576
7,1_8,486
8,1_9,528.8
1,8_9,702
2,3_5,575.8
3,2_5,599.4
4,4_8,512
5,1_6,465.6
6,1_7,447.6
7,2_9,527
8,1_9,528.8
1,7_8,589.25
2,4_6,595
3,3_6,600.2
4,2_6,550.25
5,4_9,576.4
6,1_7,447.6
7,1_8,486
8,1_9,528.8
1,8_9,702
2,1_3,592
3,2_5,599.4
4,1_5,544.75
5,4_9,576.4
6,3_9,477.4
7,2_9,527
8,1_9,528.8
1,4_5,602
2,1_3,592
3,6_9,659
4,3_7,568.4
5,4_9,576.4
6,1_7,447.6
7,1_8,486
8,1_9,528.8
1,2_3,698.4
2,3_5,575.8
3,5_8,738.75
4,4_8,512
5,3_8,520.2
6,2_8,576
7,2_9,527
8,1_9,528.8
1,8_9,702
2,3_5,575.8
3,2_5,599.4
4,3_7,568.4
5,1_6,465.6
6,3_9,477.4
7,1_8,486
8,1_9,528.8
1,7_8,589.25
2,2_4,549
3,5_8,738.75
4,5_9,578.2
5,4_9,576.4
6,1_7,447.6
7,2_9,527
8,1_9,528.8
1,3_4,559.6
2,6_8,623.6
3,3_6,600.2
4,4_8,512
5,3_8,520.2
6,1_7,447.6
7,2_9,527
8,1_9,528.8
1,8_9,702
2,6_8,623.6
3,2_5,599.4
4,5_9,578.2
5,3_8,520.2
6,1_7,447.6
7,1_8,486
8,1_9,528.8
1,6_7,528.4
2,1_3,592
3,1_4,565.6
4,4_8,512
5,1_6,465.6
6,3_9,477.4
7,1_8,486
8,1_9,528.8
1,2_3,698.4
2,6_8,623.6
3,5_8,738.75
4,2_6,550.25
5,1_6,465.6
6,3_9,477.4
7,2_9,527
8,1_9,528.8
1,8_9,702
2,1_3,592
3,5_8,738.75
4,3_7,568.4
5,2_7,557
6,3_9,477.4
7,1_8,486
8,1_9,528.8
1,4_5,602
2,6_8,623.6
3,2_5,599.4
4,3_7,568.4
5,2_7,557
6,3_9,477.4
7,2_9,527
8,1_9,528.8
1,2_3,698.4
2,3_5,575.8
3,3_6,600.2
4,4_8,512
5,3_8,520.2
6,1_7,447.6
7,2_9,527
8,1_9,528.8
1,6_7,528.4
2,6_8,623.6
3,5_8,738.75
4,5_9,578.2
5,1_6,465.6
6,3_9,477.4
7,1_8,486
8,1_9,528.8
1,1_2,584.4
2,6_8,623.6
3,6_9,659
4,1_5,544.75
5,4_9,576.4
6,3_9,477.4
7,2_9,527
8,1_9,528.8
1,1_2,584.4
2,4_6,595
3,5_8,738.75
4,2_6,550.25
5,2_7,557
6,3_9,477.4
7,2_9,527
8,1_9,528.8
1,1_2,584.4
2,1_3,592
3,4_7,649.6
4,5_9,578.2
5,4_9,576.4
6,2_8,576
7,1_8,486
8,1_9,528.8
1,4_5,602
2,2_4,549
3,5_8,738.75
4,4_8,512
5,4_9,576.4
6,1_7,447.6
7,2_9,527
8,1_9,528.8
1,4_5,602
2,7_9,573.75
3,1_4,565.6
4,5_9,578.2
5,1_6,465.6
6,2_8,576
7,2_9,527
8,1_9,528.8
1,4_5,602
2,2_4,549
3,2_5,599.4
4,4_8,512
5,2_7,557
6,2_8,576
7,2_9,527
8,1_9,528.8
1,5_6,659.8
2,2_4,549
3,4_7,649.6
4,3_7,568.4
5,1_6,465.6
6,1_7,447.6
7,2_9,527
8,1_9,528.8
1,1_2,584.4
2,1_3,592
3,3_6,600.2
4,4_8,512
5,1_6,465.6
6,1_7,447.6
7,1_8,486
8,1_9,528.8
1,5_6,659.8
2,4_6,595
3,2_5,599.4
4,4_8,512
5,2_7,557
6,3_9,477.4
7,1_8,486
8,1_9,528.8
1,8_9,702
2,2_4,549
3,3_6,600.2
4,3_7,568.4
5,2_7,557
6,2_8,576
7,1_8,486
8,1_9,528.8
1,8_9,702
2,3_5,575.8
3,6_9,659
4,1_5,544.75
5,2_7,557
6,3_9,477.4
7,1_8,486
8,1_9,528.8
1,1_2,584.4
2,3_5,575.8
3,5_8,738.75
4,2_6,550.25
5,4_9,576.4
6,2_8,576
7,2_9,527
8,1_9,528.8
1,1_2,584.4
2,6_8,623.6
3,4_7,649.6
4,2_6,550.25
5,3_8,520.2
6,3_9,477.4
7,1_8,486
8,1_9,528.8
1,6_7,528.4
2,4_6,595
3,1_4,565.6
4,5_9,578.2
5,3_8,520.2
6,2_8,576
7,1_8,486
8,1_9,528.8
1,8_9,702
2,1_3,592
3,2_5,599.4
4,1_5,544.75
5,1_6,465.6
6,2_8,576
7,2_9,527
8,1_9,528.8
1,3_4,559.6
2,6_8,623.6
3,6_9,659
4,4_8,512
5,3_8,520.2
6,2_8,576
7,2_9,527
8,1_9,528.8
1,6_7,528.4
2,5_7,605.6
3,3_6,600.2
4,5_9,578.2
5,3_8,520.2
6,2_8,576
7,1_8,486
8,1_9,528.8
1,4_5,602
2,3_5,575.8
3,1_4,565.6
4,5_9,578.2
5,4_9,576.4
6,2_8,576
7,1_8,486
8,1_9,528.8
1,1_2,584.4
2,2_4,549
3,6_9,659
4,1_5,544.75
5,3_8,520.2
6,2_8,576
7,1_8,486
8,1_9,528.8
1,1_2,584.4
2,6_8,623.6
3,1_4,565.6
4,3_7,568.4
5,3_8,520.2
6,1_7,447.6
7,2_9,527
8,1_9,528.8
1,4_5,602
2,6_8,623.6
3,5_8,738.75
4,1_5,544.75
5,4_9,576.4
6,2_8,576
7,2_9,527
8,1_9,528.8
1,3_4,559.6
2,4_6,595
3,3_6,600.2
4,1_5,544.75
5,4_9,576.4
6,2_8,576
7,2_9,527
8,1_9,528.8
1,6_7,528.4
2,2_4,549
3,4_7,649.6
4,2_6,550.25
5,2_7,557
6,2_8,576
7,2_9,527
8,1_9,528.8
1,6_7,528.4
2,2_4,549
3,3_6,600.2
4,4_8,512
5,4_9,576.4
6,2_8,576
7,2_9,527
8,1_9,528.8
1,4_5,602
2,4_6,595
3,2_5,599.4
4,5_9,578.2
5,3_8,520.2
6,2_8,576
7,1_8,486
8,1_9,528.8
1,6_7,528.4
2,3_5,575.8
3,1_4,565.6
4,1_5,544.75
5,4_9,576.4
6,2_8,576
7,2_9,527
8,1_9,528.8
1,2_3,698.4
2,2_4,549
3,5_8,738.75
4,3_7,568.4
5,1_6,465.6
6,3_9,477.4
7,1_8,486
8,1_9,528.8
1,8_9,702
2,5_7,605.6
3,5_8,738.75
4,2_6,550.25
5,4_9,576.4
6,2_8,576
7,1_8,486
8,1_9,528.8
1,2_3,698.4
2,2_4,549
3,1_4,565.6
4,3_7,568.4
5,1_6,465.6
6,3_9,477.4
7,2_9,527
8,1_9,528.8
1,4_5,602
2,1_3,592
3,4_7,649.6
4,2_6,550.25
5,1_6,465.6
6,2_8,576
7,1_8,486
8,1_9,528.8
1,1_2,584.4
2,4_6,595
3,4_7,649.6
4,3_7,568.4
5,4_9,576.4
6,2_8,576
7,2_9,527
8,1_9,528.8
1,8_9,702
2,6_8,623.6
3,6_9,659
4,3_7,568.4
5,1_6,465.6
6,3_9,477.4
7,1_8,486
8,1_9,528.8
1,2_3,698.4
2,1_3,592
3,3_6,600.2
4,1_5,544.75
5,3_8,520.2
6,1_7,447.6
7,1_8,486
8,1_9,528.8
1,2_3,698.4
2,1_3,592
3,1_4,565.6
4,1_5,544.75
5,2_7,557
6,2_8,576
7,1_8,486
8,1_9,528.8
1,7_8,589.25
2,3_5,575.8
3,3_6,600.2
4,4_8,512
5,2_7,557
6,3_9,477.4
7,1_8,486
8,1_9,528.8
1,5_6,659.8
2,4_6,595
3,1_4,565.6
4,5_9,578.2
5,2_7,557
6,3_9,477.4
7,1_8,486
8,1_9,528.8
1,2_3,698.4
2,1_3,592
3,6_9,659
4,1_5,544.75
5,4_9,576.4
6,2_8,576
7,1_8,486
8,1_9,528.8
1,2_3,698.4
2,3_5,575.8
3,1_4,565.6
4,4_8,512
5,4_9,576.4
6,2_8,576
7,2_9,527
8,1_9,528.8
1,3_4,559.6
2,2_4,549
3,2_5,599.4
4,2_6,550.25
5,1_6,465.6
6,1_7,447.6
7,2_9,527
8,1_9,528.8
1,3_4,559.6
2,6_8,623.6
3,3_6,600.2
4,1_5,544.75
5,3_8,520.2
6,3_9,477.4
7,1_8,486
8,1_9,528.8
1,4_5,602
2,4_6,595
3,1_4,565.6
4,4_8,512
5,4_9,576.4
6,2_8,576
7,2_9,527
8,1_9,528.8
1,8_9,702
2,3_5,575.8
3,6_9,659
4,4_8,512
5,4_9,576.4
6,2_8,576
7,2_9,527
8,1_9,528.8
1,2_3,698.4
2,2_4,549
3,6_9,659
4,3_7,568.4
5,2_7,557
6,2_8,576
7,2_9,527
8,1_9,528.8
1,5_6,659.8
2,1_3,592
3,2_5,599.4
4,2_6,550.25
5,2_7,557
6,1_7,447.6
7,1_8,486
8,1_9,528.8
1,1_2,584.4
2,2_4,549
3,3_6,600.2
4,1_5,544.75
5,2_7,557
6,3_9,477.4
7,2_9,527
8,1_9,528.8
1,3_4,559.6
2,6_8,623.6
3,4_7,649.6
4,4_8,512
5,4_9,576.4
6,3_9,477.4
7,2_9,527
8,1_9,528.8
1,6_7,528.4
2,3_5,575.8
3,3_6,600.2
4,2_6,550.25
5,1_6,465.6
6,2_8,576
7,1_8,486
8,1_9,528.8
1,3_4,559.6
2,2_4,549
3,1_4,565.6
4,2_6,550.25
5,4_9,576.4
6,2_8,576
7,2_9,527
8,1_9,528.8
1,8_9,702
2,7_9,573.75
3,5_8,738.75
4,5_9,578.2
5,1_6,465.6
6,1_7,447.6
7,1_8,486
8,1_9,528.8
1,3_4,559.6
2,3_5,575.8
3,2_5,599.4
4,2_6,550.25
5,4_9,576.4
6,3_9,477.4
7,2_9,527
8,1_9,528.8
1,3_4,559.6
2,4_6,595
3,1_4,565.6
4,5_9,578.2
5,4_9,576.4
6,1_7,447.6
7,2_9,527
8,1_9,528.8
1,3_4,559.6
2,3_5,575.8
3,4_7,649.6
4,2_6,550.25
5,4_9,576.4
6,2_8,576
7,2_9,527
8,1_9,528.8
1,2_3,698.4
2,2_4,549
3,4_7,649.6
4,2_6,550.25
5,3_8,520.2
6,3_9,477.4
7,2_9,527
8,1_9,528.8
1,6_7,528.4
2,4_6,595
3,6_9,659
4,4_8,512
5,1_6,465.6
6,2_8,576
7,2_9,527
8,1_9,528.8
1,4_5,602
2,7_9,573.75
3,3_6,600.2
4,5_9,578.2
5,1_6,465.6
6,2_8,576
7,2_9,527
8,1_9,528.8
1,4_5,602
2,4_6,595
3,2_5,599.4
4,3_7,568.4
5,1_6,465.6
6,2_8,576
7,1_8,486
8,1_9,528.8
1,3_4,559.6
2,7_9,573.75
3,1_4,565.6
4,4_8,512
5,4_9,576.4
6,1_7,447.6
7,2_9,527
8,1_9,528.8
1,7_8,589.25
2,2_4,549
3,1_4,565.6
4,2_6,550.25
5,1_6,465.6
6,3_9,477.4
7,2_9,527
8,1_9,528.8
1,3_4,559.6
2,7_9,573.75
3,2_5,599.4
4,1_5,544.75
5,4_9,576.4
6,2_8,576
7,2_9,527
8,1_9,528.8
1,3_4,559.6
2,5_7,605.6
3,3_6,600.2
4,3_7,568.4
5,4_9,576.4
6,3_9,477.4
7,2_9,527
8,1_9,528.8
1,6_7,528.4
2,6_8,623.6
3,5_8,738.75
4,3_7,568.4
5,4_9,576.4
6,1_7,447.6
7,1_8,486
8,1_9,528.8
1,2_3,698.4
2,2_4,549
3,4_7,649.6
4,5_9,578.2
5,1_6,465.6
6,2_8,576
7,1_8,486
8,1_9,528.8
1,6_7,528.4
2,2_4,549
3,3_6,600.2
4,5_9,578.2
5,4_9,576.4
6,2_8,576
7,1_8,486
8,1_9,528.8
1,6_7,528.4
2,4_6,595
3,5_8,738.75
4,3_7,568.4
5,3_8,520.2
6,3_9,477.4
7,1_8,486
8,1_9,528.8
1,8_9,702
2,1_3,592
3,4_7,649.6
4,5_9,578.2
5,1_6,465.6
6,1_7,447.6
7,1_8,486
8,1_9,528.8
1,5_6,659.8
2,4_6,595
3,2_5,599.4
4,3_7,568.4
5,1_6,465.6
6,2_8,576
7,1_8,486
8,1_9,528.8
1,6_7,528.4
2,2_4,549
3,1_4,565.6
4,2_6,550.25
5,1_6,465.6
6,3_9,477.4
7,1_8,486
8,1_9,528.8
1,4_5,602
2,1_3,592
3,4_7,649.6
4,5_9,578.2
5,3_8,520.2
6,3_9,477.4
7,1_8,486
8,1_9,528.8
1,8_9,702
2,1_3,592
3,3_6,600.2
4,5_9,578.2
5,1_6,465.6
6,3_9,477.4
7,1_8,486
8,1_9,528.8
1,2_3,698.4
2,5_7,605.6
3,1_4,565.6
4,5_9,578.2
5,4_9,576.4
6,3_9,477.4
7,2_9,527
8,1_9,528.8
1,5_6,659.8
2,1_3,592
3,4_7,649.6
4,3_7,568.4
5,4_9,576.4
6,3_9,477.4
7,2_9,527
8,1_9,528.8
1,1_2,584.4
2,1_3,592
3,5_8,738.75
4,4_8,512
5,1_6,465.6
6,1_7,447.6
7,2_9,527
8,1_9,528.8
1,6_7,528.4
2,6_8,623.6
3,5_8,738.75
4,4_8,512
5,2_7,557
6,1_7,447.6
7,1_8,486
8,1_9,528.8
1,7_8,589.25
2,2_4,549
3,5_8,738.75
4,5_9,578.2
5,2_7,557
6,1_7,447.6
7,2_9,527
8,1_9,528.8
1,3_4,559.6
2,7_9,573.75
3,3_6,600.2
4,3_7,568.4
5,4_9,576.4
6,3_9,477.4
7,2_9,527
8,1_9,528.8
1,5_6,659.8
2,2_4,549
3,3_6,600.2
4,3_7,568.4
5,2_7,557
6,2_8,576
7,2_9,527
8,1_9,528.8
1,6_7,528.4
2,3_5,575.8
3,5_8,738.75
4,1_5,544.75
5,1_6,465.6
6,1_7,447.6
7,2_9,527
8,1_9,528.8
1,1_2,584.4
2,5_7,605.6
3,3_6,600.2
4,1_5,544.75
5,2_7,557
6,3_9,477.4
7,2_9,527
8,1_9,528.8
1,4_5,602
2,7_9,573.75
3,4_7,649.6
4,4_8,512
5,4_9,576.4
6,3_9,477.4
7,2_9,527
8,1_9,528.8
1,1_2,584.4
2,3_5,575.8
3,2_5,599.4
4,2_6,550.25
5,4_9,576.4
6,1_7,447.6
7,1_8,486
8,1_9,528.8
1,4_5,602
2,2_4,549
3,5_8,738.75
4,3_7,568.4
5,1_6,465.6
6,1_7,447.6
7,1_8,486
8,1_9,528.8
1,7_8,589.25
2,7_9,573.75
3,3_6,600.2
4,2_6,550.25
5,3_8,520.2
6,1_7,447.6
7,2_9,527
8,1_9,528.8
1,1_2,584.4
2,2_4,549
3,1_4,565.6
4,4_8,512
5,2_7,557
6,3_9,477.4
7,1_8,486
8,1_9,528.8
1,1_2,584.4
2,2_4,549
3,5_8,738.75
4,1_5,544.75
5,4_9,576.4
6,2_8,576
7,2_9,527
8,1_9,528.8
1,7_8,589.25
2,2_4,549
3,5_8,738.75
4,5_9,578.2
5,1_6,465.6
6,3_9,477.4
7,2_9,527
8,1_9,528.8
1,7_8,589.25
2,4_6,595
3,1_4,565.6
4,4_8,512
5,1_6,465.6
6,2_8,576
7,1_8,486
8,1_9,528.8
1,5_6,659.8
2,4_6,595
3,4_7,649.6
4,2_6,550.25
5,2_7,557
6,2_8,576
7,1_8,486
8,1_9,528.8
1,3_4,559.6
2,5_7,605.6
3,3_6,600.2
4,2_6,550.25
5,1_6,465.6
6,3_9,477.4
7,1_8,486
8,1_9,528.8
1,3_4,559.6
2,6_8,623.6
3,1_4,565.6
4,4_8,512
5,4_9,576.4
6,2_8,576
7,1_8,486
8,1_9,528.8
1,7_8,589.25
2,1_3,592
3,6_9,659
4,1_5,544.75
5,3_8,520.2
6,3_9,477.4
7,1_8,486
8,1_9,528.8
1,1_2,584.4
2,2_4,549
3,4_7,649.6
4,4_8,512
5,3_8,520.2
6,2_8,576
7,2_9,527
8,1_9,528.8
1,1_2,584.4
2,2_4,549
3,5_8,738.75
4,2_6,550.25
5,3_8,520.2
6,2_8,576
7,2_9,527
8,1_9,528.8
1,3_4,559.6
2,4_6,595
3,2_5,599.4
4,4_8,512
5,4_9,576.4
6,3_9,477.4
7,1_8,486
8,1_9,528.8
1,1_2,584.4
2,3_5,575.8
3,4_7,649.6
4,3_7,568.4
5,3_8,520.2
6,3_9,477.4
7,1_8,486
8,1_9,528.8
1,1_2,584.4
2,6_8,623.6
3,5_8,738.75
4,2_6,550.25
5,1_6,465.6
6,2_8,576
7,1_8,486
8,1_9,528.8
1,7_8,589.25
2,4_6,595
3,4_7,649.6
4,5_9,578.2
5,4_9,576.4
6,2_8,576
7,2_9,527
8,1_9,528.8
1,1_2,584.4
2,4_6,595
3,5_8,738.75
4,2_6,550.25
5,2_7,557
6,1_7,447.6
7,1_8,486
8,1_9,528.8
1,8_9,702
2,4_6,595
3,6_9,659
4,4_8,512
5,1_6,465.6
6,2_8,576
7,1_8,486
8,1_9,528.8
1,7_8,589.25
2,4_6,595
3,5_8,738.75
4,1_5,544.75
5,2_7,557
6,3_9,477.4
7,2_9,527
8,1_9,528.8
1,3_4,559.6
2,3_5,575.8
3,3_6,600.2
4,5_9,578.2
5,4_9,576.4
6,1_7,447.6
7,2_9,527
8,1_9,528.8
1,3_4,559.6
2,3_5,575.8
3,1_4,565.6
4,4_8,512
5,3_8,520.2
6,1_7,447.6
7,1_8,486
8,1_9,528.8
1,5_6,659.8
2,2_4,549
3,3_6,600.2
4,4_8,512
5,1_6,465.6
6,2_8,576
7,1_8,486
8,1_9,528.8
1,7_8,589.25
2,3_5,575.8
3,3_6,600.2
4,1_5,544.75
5,2_7,557
6,3_9,477.4
7,1_8,486
8,1_9,528.8
1,5_6,659.8
2,4_6,595
3,5_8,738.75
4,1_5,544.75
5,1_6,465.6
6,3_9,477.4
7,1_8,486
8,1_9,528.8
1,8_9,702
2,5_7,605.6
3,1_4,565.6
4,4_8,512
5,4_9,576.4
6,1_7,447.6
7,2_9,527
8,1_9,528.8
1,3_4,559.6
2,7_9,573.75
3,5_8,738.75
4,2_6,550.25
5,2_7,557
6,3_9,477.4
7,1_8,486
8,1_9,528.8
1,3_4,559.6
2,7_9,573.75
3,3_6,600.2
4,3_7,568.4
5,4_9,576.4
6,3_9,477.4
7,2_9,527
8,1_9,528.8
1,3_4,559.6
2,1_3,592
3,6_9,659
4,2_6,550.25
5,3_8,520.2
6,1_7,447.6
7,2_9,527
8,1_9,528.8
1,8_9,702
2,3_5,575.8
3,6_9,659
4,1_5,544.75
5,1_6,465.6
6,1_7,447.6
7,2_9,527
8,1_9,528.8
1,2_3,698.4
2,1_3,592
3,2_5,599.4
4,4_8,512
5,4_9,576.4
6,1_7,447.6
7,2_9,527
8,1_9,528.8
1,6_7,528.4
2,4_6,595
3,5_8,738.75
4,4_8,512
5,2_7,557
6,3_9,477.4
7,1_8,486
8,1_9,528.8
1,8_9,702
2,5_7,605.6
3,1_4,565.6
4,2_6,550.25
5,2_7,557
6,1_7,447.6
7,2_9,527
8,1_9,528.8
1,4_5,602
2,5_7,605.6
3,4_7,649.6
4,1_5,544.75
5,4_9,576.4
6,2_8,576
7,1_8,486
8,1_9,528.8
1,4_5,602
2,7_9,573.75
3,2_5,599.4
4,3_7,568.4
5,1_6,465.6
6,3_9,477.4
7,1_8,486
8,1_9,528.8
1,8_9,702
2,6_8,623.6
3,5_8,738.75
4,1_5,544.75
5,1_6,465.6
6,1_7,447.6
7,1_8,486
8,1_9,528.8
1,1_2,584.4
2,2_4,549
3,2_5,599.4
4,2_6,550.25
5,4_9,576.4
6,3_9,477.4
7,1_8,486
8,1_9,528.8
