distance,pair,value
3,3_6,495
4,2_6,526.2
5,1_6,419.2
6,3_9,524
7,2_9,447.333
8,1_9,442
1,7_8,695.2
2,4_6,614.4
3,2_5,486.6
4,3_7,525.8
5,3_8,456
6,3_9,524
7,2_9,447.333
8,1_9,442
1,3_4,496.4
2,2_4,496.25
3,6_9,525.4
4,1_5,520
5,2_7,502.4
6,2_8,442.75
7,2_9,447.333
8,1_9,442
1,1_2,449.4
2,6_8,596
3,6_9,525.4
4,4_8,603
5,3_8,456
6,3_9,524
7,2_9,447.333
8,1_9,442
1,5_6,588
2,3_5,532
3,5_8,561.6
4,5_9,521.8
5,3_8,456
6,2_8,442.75
7,1_8,398.2
8,1_9,442
1,6_7,564.25
2,7_9,579.6
3,2_5,486.6
4,5_9,521.8
5,2_7,502.4
6,1_7,454.5
7,1_8,398.2
8,1_9,442
1,3_4,496.4
2,1_3,522.2
3,3_6,495
4,5_9,521.8
5,3_8,456
6,2_8,442.75
7,1_8,398.2
8,1_9,442
1,8_9,585.75
2,3_5,532
3,6_9,525.4
4,1_5,520
5,2_7,502.4
6,2_8,442.75
7,2_9,447.333
8,1_9,442
1,4_5,794.25
2,3_5,532
3,1_4,433
4,2_6,526.2
5,4_9,462.8
6,1_7,454.5
7,2_9,447.333
8,1_9,442
1,7_8,695.2
2,4_6,614.4
3,1_4,433
4,2_6,526.2
5,4_9,462.8
6,2_8,442.75
7,1_8,398.2
8,1_9,442
1,5_6,588
2,6_8,596
3,5_8,561.6
4,2_6,526.2
5,2_7,502.4
6,1_7,454.5
7,1_8,398.2
8,1_9,442
1,4_5,794.25
2,4_6,614.4
3,5_8,561.6
4,1_5,520
5,1_6,419.2
6,2_8,442.75
7,2_9,447.333
8,1_9,442
1,6_7,564.25
2,7_9,579.6
3,2_5,486.6
4,5_9,521.8
5,2_7,502.4
6,1_7,454.5
7,1_8,398.2
8,1_9,442
1,3_4,496.4
2,1_3,522.2
3,4_7,482
4,3_7,525.8
5,4_9,462.8
6,1_7,454.5
7,1_8,398.2
8,1_9,442
1,2_3,504.4
2,6_8,596
3,5_8,561.6
4,5_9,521.8
5,3_8,456
6,2_8,442.75
7,2_9,447.333
8,1_9,442
1,3_4,496.4
2,5_7,509.333
3,5_8,561.6
4,2_6,526.2
5,4_9,462.8
6,2_8,442.75
7,1_8,398.2
8,1_9,442
1,7_8,695.2
2,1_3,522.2
3,6_9,525.4
4,5_9,521.8
5,4_9,462.8
6,1_7,454.5
7,1_8,398.2
8,1_9,442
1,5_6,588
2,2_4,496.25
3,6_9,525.4
4,2_6,526.2
5,2_7,502.4
6,3_9,524
7,2_9,447.333
8,1_9,442
1,1_2,449.4
2,3_5,532
3,1_4,433
4,4_8,603
5,2_7,502.4
6,1_7,454.5
7,1_8,398.2
8,1_9,442
1,7_8,695.2
2,1_3,522.2
3,1_4,433
4,3_7,525.8
5,3_8,456
6,3_9,524
7,1_8,398.2
8,1_9,442
1,7_8,695.2
2,3_5,532
3,3_6,495
4,3_7,525.8
5,1_6,419.2
6,2_8,442.75
7,1_8,398.2
8,1_9,442
1,6_7,564.25
2,6_8,596
3,2_5,486.6
4,4_8,603
5,3_8,456
6,2_8,442.75
7,1_8,398.2
8,1_9,442
1,2_3,504.4
2,4_6,614.4
3,2_5,486.6
4,5_9,521.8
5,2_7,502.4
6,2_8,442.75
7,1_8,398.2
8,1_9,442
1,7_8,695.2
2,4_6,614.4
3,5_8,561.6
4,3_7,525.8
5,1_6,419.2
6,1_7,454.5
7,1_8,398.2
8,1_9,442
1,7_8,695.2
2,3_5,532
3,3_6,495
4,1_5,520
5,4_9,462.8
6,3_9,524
7,2_9,447.333
8,1_9,442
1,3_4,496.4
2,4_6,614.4
3,2_5,486.6
4,1_5,520
5,2_7,502.4
6,3_9,524
7,1_8,398.2
8,1_9,442
1,7_8,695.2
2,6_8,596
3,5_8,561.6
4,5_9,521.8
5,3_8,456
6,3_9,524
7,2_9,447.333
8,1_9,442
1,7_8,695.2
2,4_6,614.4
3,1_4,433
4,5_9,521.8
5,1_6,419.2
6,3_9,524
7,2_9,447.333
8,1_9,442
1,5_6,588
2,1_3,522.2
3,6_9,525.4
4,5_9,521.8
5,4_9,462.8
6,2_8,442.75
7,2_9,447.333
8,1_9,442
1,3_4,496.4
2,5_7,509.333
3,1_4,433
4,1_5,520
5,1_6,419.2
6,2_8,442.75
7,2_9,447.333
8,1_9,442
1,6_7,564.25
2,6_8,596
3,2_5,486.6
4,1_5,520
5,3_8,456
6,2_8,442.75
7,2_9,447.333
8,1_9,442
1,4_5,794.25
2,3_5,532
3,4_7,482
4,2_6,526.2
5,2_7,502.4
6,2_8,442.75
7,1_8,398.2
8,1_9,442
1,7_8,695.2
2,3_5,532
3,5_8,561.6
4,1_5,520
5,1_6,419.2
6,2_8,442.75
7,1_8,398.2
8,1_9,442
1,5_6,588
2,3_5,532
3,3_6,495
4,5_9,521.8
5,1_6,419.2
6,1_7,454.5
7,2_9,447.333
8,1_9,442
1,1_2,449.4
2,1_3,522.2
3,1_4,433
4,5_9,521.8
5,2_7,502.4
6,3_9,524
7,1_8,398.2
8,1_9,442
1,7_8,695.2
2,4_6,614.4
3,6_9,525.4
4,4_8,603
5,3_8,456
6,1_7,454.5
7,1_8,398.2
8,1_9,442
1,7_8,695.2
2,5_7,509.333
3,1_4,433
4,4_8,603
5,3_8,456
6,1_7,454.5
7,1_8,398.2
8,1_9,442
1,7_8,695.2
2,5_7,509.333
3,6_9,525.4
4,2_6,526.2
5,4_9,462.8
6,2_8,442.75
7,1_8,398.2
8,1_9,442
1,2_3,504.4
2,7_9,579.6
3,6_9,525.4
4,2_6,526.2
5,4_9,462.8
6,1_7,454.5
7,1_8,398.2
8,1_9,442
1,4_5,794.25
2,2_4,496.25
3,5_8,561.6
4,5_9,521.8
5,3_8,456
6,3_9,524
7,1_8,398.2
8,1_9,442
1,1_2,449.4
2,5_7,509.333
3,6_9,525.4
4,4_8,603
5,3_8,456
6,3_9,524
7,1_8,398.2
8,1_9,442
1,3_4,496.4
2,6_8,596
3,6_9,525.4
4,5_9,521.8
5,2_7,502.4
6,2_8,442.75
7,2_9,447.333
8,1_9,442
1,6_7,564.25
2,5_7,509.333
3,1_4,433
4,3_7,525.8
5,4_9,462.8
6,3_9,524
7,1_8,398.2
8,1_9,442
1,8_9,585.75
2,4_6,614.4
3,1_4,433
4,5_9,521.8
5,2_7,502.4
6,1_7,454.5
7,2_9,447.333
8,1_9,442
1,7_8,695.2
2,1_3,522.2
3,1_4,433
4,4_8,603
5,1_6,419.2
6,2_8,442.75
7,2_9,447.333
8,1_9,442
1,1_2,449.4
2,7_9,579.6
3,3_6,495
4,2_6,526.2
5,2_7,502.4
6,1_7,454.5
7,1_8,398.2
8,1_9,442
1,3_4,496.4
2,3_5,532
3,2_5,486.6
4,4_8,603
5,4_9,462.8
6,3_9,524
7,1_8,398.2
8,1_9,442
1,6_7,564.25
2,7_9,579.6
3,6_9,525.4
4,2_6,526.2
5,3_8,456
6,2_8,442.75
7,1_8,398.2
8,1_9,442
1,5_6,588
2,5_7,509.333
3,2_5,486.6
4,1_5,520
5,3_8,456
6,3_9,524
7,2_9,447.333
8,1_9,442
1,6_7,564.25
2,1_3,522.2
3,1_4,433
4,2_6,526.2
5,3_8,456
6,3_9,524
7,1_8,398.2
8,1_9,442
1,5_6,588
2,1_3,522.2
3,1_4,433
4,3_7,525.8
5,1_6,419.2
6,1_7,454.5
7,1_8,398.2
8,1_9,442
1,1_2,449.4
2,3_5,532
3,5_8,561.6
4,4_8,603
5,4_9,462.8
6,2_8,442.75
7,1_8,398.2
8,1_9,442
1,7_8,695.2
2,1_3,522.2
3,5_8,561.6
4,1_5,520
5,1_6,419.2
6,2_8,442.75
7,1_8,398.2
8,1_9,442
1,8_9,585.75
2,5_7,509.333
3,4_7,482
4,3_7,525.8
5,1_6,419.2
6,3_9,524
7,1_8,398.2
8,1_9,442
1,3_4,496.4
2,1_3,522.2
3,3_6,495
4,4_8,603
5,2_7,502.4
6,2_8,442.75
7,1_8,398.2
8,1_9,442
1,6_7,564.25
2,2_4,496.25
3,4_7,482
4,3_7,525.8
5,1_6,419.2
6,3_9,524
7,1_8,398.2
8,1_9,442
1,6_7,564.25
2,6_8,596
3,3_6,495
4,1_5,520
5,4_9,462.8
6,1_7,454.5
7,2_9,447.333
8,1_9,442
1,8_9,585.75
2,4_6,614.4
3,3_6,495
4,5_9,521.8
5,2_7,502.4
6,3_9,524
7,1_8,398.2
8,1_9,442
1,1_2,449.4
2,4_6,614.4
3,4_7,482
4,5_9,521.8
5,4_9,462.8
6,1_7,454.5
7,1_8,398.2
8,1_9,442
1,4_5,794.25
2,4_6,614.4
3,5_8,561.6
4,5_9,521.8
5,3_8,456
6,3_9,524
7,1_8,398.2
8,1_9,442
1,4_5,794.25
2,2_4,496.25
3,5_8,561.6
4,3_7,525.8
5,3_8,456
6,1_7,454.5
7,2_9,447.333
8,1_9,442
1,1_2,449.4
2,1_3,522.2
3,1_4,433
4,3_7,525.8
5,1_6,419.2
6,3_9,524
7,2_9,447.333
8,1_9,442
1,4_5,794.25
2,1_3,522.2
3,4_7,482
4,4_8,603
5,1_6,419.2
6,3_9,524
7,1_8,398.2
8,1_9,442
1,7_8,695.2
2,1_3,522.2
3,5_8,561.6
4,2_6,526.2
5,2_7,502.4
6,2_8,442.75
7,2_9,447.333
8,1_9,442
1,7_8,695.2
2,5_7,509.333
3,4_7,482
4,4_8,603
5,1_6,419.2
6,1_7,454.5
7,2_9,447.333
8,1_9,442
1,5_6,588
2,3_5,532
3,1_4,433
4,2_6,526.2
5,3_8,456
6,1_7,454.5
7,1_8,398.2
8,1_9,442
1,8_9,585.75
2,4_6,614.4
3,6_9,525.4
4,5_9,521.8
5,4_9,462.8
6,1_7,454.5
7,1_8,398.2
8,1_9,442
1,2_3,504.4
2,1_3,522.2
3,4_7,482
4,1_5,520
5,4_9,462.8
6,1_7,454.5
7,2_9,447.333
8,1_9,442
1,1_2,449.4
2,6_8,596
3,5_8,561.6
4,2_6,526.2
5,1_6,419.2
6,3_9,524
7,2_9,447.333
8,1_9,442
1,3_4,496.4
2,5_7,509.333
3,1_4,433
4,4_8,603
5,2_7,502.4
6,3_9,524
7,2_9,447.333
8,1_9,442
1,5_6,588
2,1_3,522.2
3,2_5,486.6
4,4_8,603
5,3_8,456
6,1_7,454.5
7,2_9,447.333
8,1_9,442
1,6_7,564.25
2,6_8,596
3,3_6,495
4,1_5,520
5,3_8,456
6,3_9,524
7,1_8,398.2
8,1_9,442
1,6_7,564.25
2,5_7,509.333
3,2_5,486.6
4,1_5,520
5,2_7,502.4
6,1_7,454.5
7,1_8,398.2
8,1_9,442
1,1_2,449.4
2,5_7,509.333
3,6_9,525.4
4,3_7,525.8
5,3_8,456
6,1_7,454.5
7,1_8,398.2
8,1_9,442
1,8_9,585.75
2,3_5,532
3,6_9,525.4
4,2_6,526.2
5,3_8,456
6,3_9,524
7,2_9,447.333
8,1_9,442
1,2_3,504.4
2,2_4,496.25
3,4_7,482
4,1_5,520
5,1_6,419.2
6,3_9,524
7,2_9,447.333
8,1_9,442
1,4_5,794.25
2,5_7,509.333
3,5_8,561.6
4,3_7,525.8
5,2_7,502.4
6,2_8,442.75
7,2_9,447.333
8,1_9,442
1,5_6,588
2,3_5,532
3,5_8,561.6
4,3_7,525.8
5,1_6,419.2
6,1_7,454.5
7,1_8,398.2
8,1_9,442
1,7_8,695.2
2,5_7,509.333
3,5_8,561.6
4,1_5,520
5,1_6,419.2
6,3_9,524
7,2_9,447.333
8,1_9,442
1,5_6,588
2,6_8,596
3,6_9,525.4
4,4_8,603
5,1_6,419.2
6,1_7,454.5
7,1_8,398.2
8,1_9,442
1,3_4,496.4
2,4_6,614.4
3,2_5,486.6
4,2_6,526.2
5,4_9,462.8
6,3_9,524
7,1_8,398.2
8,1_9,442
1,2_3,504.4
2,1_3,522.2
3,5_8,561.6
4,5_9,521.8
5,1_6,419.2
6,1_7,454.5
7,2_9,447.333
8,1_9,442
1,2_3,504.4
2,5_7,509.333
3,3_6,495
4,3_7,525.8
5,1_6,419.2
6,2_8,442.75
7,1_8,398.2
8,1_9,442
1,6_7,564.25
2,2_4,496.25
3,6_9,525.4
4,4_8,603
5,2_7,502.4
6,1_7,454.5
7,2_9,447.333
8,1_9,442
1,2_3,504.4
2,6_8,596
3,3_6,495
4,5_9,521.8
5,4_9,462.8
6,2_8,442.75
7,1_8,398.2
8,1_9,442
1,1_2,449.4
2,3_5,532
3,3_6,495
4,2_6,526.2
5,1_6,419.2
6,2_8,442.75
7,2_9,447.333
8,1_9,442
1,3_4,496.4
2,7_9,579.6
3,5_8,561.6
4,3_7,525.8
5,1_6,419.2
6,2_8,442.75
7,2_9,447.333
8,1_9,442
1,8_9,585.75
2,6_8,596
3,3_6,495
4,5_9,521.8
5,4_9,462.8
6,2_8,442.75
7,1_8,398.2
8,1_9,442
1,2_3,504.4
2,3_5,532
3,2_5,486.6
4,5_9,521.8
5,4_9,462.8
6,3_9,524
7,2_9,447.333
8,1_9,442
1,7_8,695.2
2,3_5,532
3,4_7,482
4,3_7,525.8
5,2_7,502.4
6,3_9,524
7,1_8,398.2
8,1_9,442
1,4_5,794.25
2,3_5,532
3,2_5,486.6
4,5_9,521.8
5,2_7,502.4
6,2_8,442.75
7,2_9,447.333
8,1_9,442
1,7_8,695.2
2,7_9,579.6
3,2_5,486.6
4,5_9,521.8
5,4_9,462.8
6,2_8,442.75
7,2_9,447.333
8,1_9,442
1,5_6,588
2,5_7,509.333
3,4_7,482
4,1_5,520
5,1_6,419.2
6,3_9,524
7,2_9,447.333
8,1_9,442
1,6_7,564.25
2,5_7,509.333
3,3_6,495
4,5_9,521.8
5,2_7,502.4
6,3_9,524
7,1_8,398.2
8,1_9,442
1,5_6,588
2,7_9,579.6
3,4_7,482
4,1_5,520
5,3_8,456
6,3_9,524
7,2_9,447.333
8,1_9,442
1,6_7,564.25
2,6_8,596
3,2_5,486.6
4,2_6,526.2
5,3_8,456
6,3_9,524
7,1_8,398.2
8,1_9,442
1,4_5,794.25
2,6_8,596
3,3_6,495
4,2_6,526.2
5,1_6,419.2
6,1_7,454.5
7,1_8,398.2
8,1_9,442
1,4_5,794.25
2,7_9,579.6
3,1_4,433
4,5_9,521.8
5,2_7,502.4
6,3_9,524
7,2_9,447.333
8,1_9,442
1,2_3,504.4
2,3_5,532
3,6_9,525.4
4,5_9,521.8
5,3_8,456
6,1_7,454.5
7,2_9,447.333
8,1_9,442
1,5_6,588
2,7_9,579.6
3,1_4,433
4,2_6,526.2
5,1_6,419.2
6,1_7,454.5
7,1_8,398.2
8,1_9,442
1,1_2,449.4
2,5_7,509.333
3,1_4,433
4,2_6,526.2
5,4_9,462.8
6,1_7,454.5
7,1_8,398.2
8,1_9,442
1,2_3,504.4
2,2_4,496.25
3,2_5,486.6
4,5_9,521.8
5,1_6,419.2
6,1_7,454.5
7,2_9,447.333
8,1_9,442
1,2_3,504.4
2,4_6,614.4
3,5_8,561.6
4,1_5,520
5,2_7,502.4
6,3_9,524
7,2_9,447.333
8,1_9,442
1,2_3,504.4
2,1_3,522.2
3,4_7,482
4,5_9,521.8
5,1_6,419.2
6,2_8,442.75
7,2_9,447.333
8,1_9,442
1,7_8,695.2
2,6_8,596
3,2_5,486.6
4,5_9,521.8
5,2_7,502.4
6,3_9,524
7,1_8,398.2
8,1_9,442
1,1_2,449.4
2,7_9,579.6
3,6_9,525.4
4,4_8,603
5,3_8,456
6,2_8,442.75
7,1_8,398.2
8,1_9,442
1,5_6,588
2,5_7,509.333
3,2_5,486.6
4,1_5,520
5,1_6,419.2
6,3_9,524
7,1_8,398.2
8,1_9,442
1,3_4,496.4
2,4_6,614.4
3,4_7,482
4,3_7,525.8
5,2_7,502.4
6,2_8,442.75
7,1_8,398.2
8,1_9,442
1,4_5,794.25
2,2_4,496.25
3,5_8,561.6
4,2_6,526.2
5,4_9,462.8
6,1_7,454.5
7,1_8,398.2
8,1_9,442
1,8_9,585.75
2,1_3,522.2
3,1_4,433
4,5_9,521.8
5,4_9,462.8
6,2_8,442.75
7,1_8,398.2
8,1_9,442
1,6_7,564.25
2,5_7,509.333
3,4_7,482
4,3_7,525.8
5,2_7,502.4
6,2_8,442.75
7,2_9,447.333
8,1_9,442
1,3_4,496.4
2,7_9,579.6
3,5_8,561.6
4,5_9,521.8
5,1_6,419.2
6,1_7,454.5
7,1_8,398.2
8,1_9,442
1,8_9,585.75
2,5_7,509.333
3,6_9,525.4
4,5_9,521.8
5,1_6,419.2
6,2_8,442.75
7,2_9,447.333
8,1_9,442
1,7_8,695.2
2,2_4,496.25
3,2_5,486.6
4,5_9,521.8
5,3_8,456
6,1_7,454.5
7,2_9,447.333
8,1_9,442
1,5_6,588
2,2_4,496.25
3,5_8,561.6
4,1_5,520
5,4_9,462.8
6,3_9,524
7,2_9,447.333
8,1_9,442
1,2_3,504.4
2,1_3,522.2
3,5_8,561.6
4,5_9,521.8
5,1_6,419.2
6,1_7,454.5
7,2_9,447.333
8,1_9,442
1,4_5,794.25
2,7_9,579.6
3,1_4,433
4,1_5,520
5,3_8,456
6,3_9,524
7,2_9,447.333
8,1_9,442
1,4_5,794.25
2,4_6,614.4
3,5_8,561.6
4,3_7,525.8
5,1_6,419.2
6,1_7,454.5
7,2_9,447.333
8,1_9,442
1,7_8,695.2
2,1_3,522.2
3,1_4,433
4,3_7,525.8
5,4_9,462.8
6,1_7,454.5
7,2_9,447.333
8,1_9,442
1,7_8,695.2
2,3_5,532
3,1_4,433
4,2_6,526.2
5,1_6,419.2
6,1_7,454.5
7,2_9,447.333
8,1_9,442
1,4_5,794.25
2,7_9,579.6
3,4_7,482
4,5_9,521.8
5,2_7,502.4
6,3_9,524
7,1_8,398.2
8,1_9,442
1,7_8,695.2
2,4_6,614.4
3,3_6,495
4,2_6,526.2
5,3_8,456
6,3_9,524
7,1_8,398.2
8,1_9,442
1,6_7,564.25
2,2_4,496.25
3,5_8,561.6
4,4_8,603
5,1_6,419.2
6,2_8,442.75
7,1_8,398.2
8,1_9,442
1,3_4,496.4
2,5_7,509.333
3,6_9,525.4
4,3_7,525.8
5,1_6,419.2
6,3_9,524
7,2_9,447.333
8,1_9,442
1,4_5,794.25
2,5_7,509.333
3,4_7,482
4,4_8,603
5,3_8,456
6,2_8,442.75
7,2_9,447.333
8,1_9,442
1,2_3,504.4
2,7_9,579.6
3,3_6,495
4,2_6,526.2
5,2_7,502.4
6,2_8,442.75
7,1_8,398.2
8,1_9,442
1,3_4,496.4
2,1_3,522.2
3,6_9,525.4
4,4_8,603
5,1_6,419.2
6,2_8,442.75
7,1_8,398.2
8,1_9,442
1,6_7,564.25
2,5_7,509.333
3,6_9,525.4
4,4_8,603
5,4_9,462.8
6,3_9,524
7,2_9,447.333
8,1_9,442
1,8_9,585.75
2,4_6,614.4
3,2_5,486.6
4,5_9,521.8
5,2_7,502.4
6,3_9,524
7,1_8,398.2
8,1_9,442
1,6_7,564.25
2,2_4,496.25
3,5_8,561.6
4,5_9,521.8
5,4_9,462.8
6,2_8,442.75
7,1_8,398.2
8,1_9,442
1,3_4,496.4
2,7_9,579.6
3,2_5,486.6
4,4_8,603
5,1_6,419.2
6,2_8,442.75
7,2_9,447.333
8,1_9,442
1,7_8,695.2
2,3_5,532
3,2_5,486.6
4,2_6,526.2
5,3_8,456
6,1_7,454.5
7,1_8,398.2
8,1_9,442
1,2_3,504.4
2,5_7,509.333
3,2_5,486.6
4,3_7,525.8
5,3_8,456
6,1_7,454.5
7,2_9,447.333
8,1_9,442
1,8_9,585.75
2,7_9,579.6
3,3_6,495
4,5_9,521.8
5,3_8,456
6,3_9,524
7,1_8,398.2
8,1_9,442
1,5_6,588
2,4_6,614.4
3,4_7,482
4,3_7,525.8
5,2_7,502.4
6,2_8,442.75
7,1_8,398.2
8,1_9,442
1,2_3,504.4
2,5_7,509.333
3,6_9,525.4
4,5_9,521.8
5,1_6,419.2
6,2_8,442.75
7,1_8,398.2
8,1_9,442
1,7_8,695.2
2,3_5,532
3,3_6,495
4,5_9,521.8
5,2_7,502.4
6,1_7,454.5
7,2_9,447.333
8,1_9,442
1,5_6,588
2,2_4,496.25
3,1_4,433
4,2_6,526.2
5,2_7,502.4
6,3_9,524
7,2_9,447.333
8,1_9,442
1,4_5,794.25
2,5_7,509.333
3,4_7,482
4,1_5,520
5,4_9,462.8
6,2_8,442.75
7,1_8,398.2
8,1_9,442
1,1_2,449.4
2,4_6,614.4
3,3_6,495
4,4_8,603
5,4_9,462.8
6,1_7,454.5
7,2_9,447.333
8,1_9,442
1,4_5,794.25
2,6_8,596
3,1_4,433
4,1_5,520
5,4_9,462.8
6,1_7,454.5
7,2_9,447.333
8,1_9,442
1,1_2,449.4
2,2_4,496.25
3,3_6,495
4,1_5,520
5,3_8,456
6,2_8,442.75
7,1_8,398.2
8,1_9,442
1,6_7,564.25
2,1_3,522.2
3,2_5,486.6
4,3_7,525.8
5,2_7,502.4
6,2_8,442.75
7,1_8,398.2
8,1_9,442
1,5_6,588
2,4_6,614.4
3,1_4,433
4,5_9,521.8
5,1_6,419.2
6,1_7,454.5
7,2_9,447.333
8,1_9,442
1,2_3,504.4
2,7_9,579.6
3,3_6,495
4,3_7,525.8
5,1_6,419.2
6,3_9,524
7,1_8,398.2
8,1_9,442
1,5_6,588
2,2_4,496.25
3,2_5,486.6
4,5_9,521.8
5,3_8,456
6,3_9,524
7,1_8,398.2
8,1_9,442
1,7_8,695.2
2,6_8,596
3,4_7,482
4,5_9,521.8
5,3_8,456
6,2_8,442.75
7,1_8,398.2
8,1_9,442
1,1_2,449.4
2,2_4,496.25
3,2_5,486.6
4,3_7,525.8
5,1_6,419.2
6,1_7,454.5
7,2_9,447.333
8,1_9,442
1,6_7,564.25
2,3_5,532
3,4_7,482
4,4_8,603
5,3_8,456
6,1_7,454.5
7,2_9,447.333
8,1_9,442
1,7_8,695.2
2,1_3,522.2
3,4_7,482
4,2_6,526.2
5,2_7,502.4
6,2_8,442.75
7,1_8,398.2
8,1_9,442
1,5_6,588
2,5_7,509.333
3,4_7,482
4,4_8,603
5,3_8,456
6,1_7,454.5
7,2_9,447.333
8,1_9,442
1,1_2,449.4
2,4_6,614.4
3,6_9,525.4
4,3_7,525.8
5,1_6,419.2
6,2_8,442.75
7,1_8,398.2
8,1_9,442
1,3_4,496.4
2,1_3,522.2
3,3_6,495
4,4_8,603
5,4_9,462.8
6,2_8,442.75
7,2_9,447.333
8,1_9,442
1,3_4,496.4
2,4_6,614.4
3,1_4,433
4,5_9,521.8
5,2_7,502.4
6,3_9,524
7,2_9,447.333
8,1_9,442
1,5_6,588
2,5_7,509.333
3,6_9,525.4
4,1_5,520
5,4_9,462.8
6,1_7,454.5
7,2_9,447.333
8,1_9,442
1,8_9,585.75
2,1_3,522.2
3,6_9,525.4
4,5_9,521.8
5,4_9,462.8
6,2_8,442.75
7,1_8,398.2
8,1_9,442
1,6_7,564.25
2,7_9,579.6
3,2_5,486.6
4,2_6,526.2
5,1_6,419.2
6,3_9,524
7,1_8,398.2
8,1_9,442
1,7_8,695.2
2,2_4,496.25
3,2_5,486.6
4,3_7,525.8
5,2_7,502.4
6,2_8,442.75
7,2_9,447.333
8,1_9,442
1,1_2,449.4
2,1_3,522.2
3,2_5,486.6
4,5_9,521.8
5,1_6,419.2
6,3_9,524
7,1_8,398.2
8,1_9,442
1,6_7,564.25
2,7_9,579.6
3,3_6,495
4,5_9,521.8
5,3_8,456
6,2_8,442.75
7,1_8,398.2
8,1_9,442
1,5_6,588
2,7_9,579.6
3,2_5,486.6
4,5_9,521.8
5,2_7,502.4
6,1_7,454.5
7,2_9,447.333
8,1_9,442
1,2_3,504.4
2,1_3,522.2
3,3_6,495
4,3_7,525.8
5,1_6,419.2
6,3_9,524
7,2_9,447.333
8,1_9,442
1,7_8,695.2
2,5_7,509.333
3,6_9,525.4
4,4_8,603
5,2_7,502.4
6,2_8,442.75
7,2_9,447.333
8,1_9,442
1,7_8,695.2
2,6_8,596
3,2_5,486.6
4,3_7,525.8
5,1_6,419.2
6,2_8,442.75
7,2_9,447.333
8,1_9,442
1,6_7,564.25
2,4_6,614.4
3,2_5,486.6
4,1_5,520
5,4_9,462.8
6,3_9,524
7,1_8,398.2
8,1_9,442
1,8_9,585.75
2,2_4,496.25
3,6_9,525.4
4,2_6,526.2
5,1_6,419.2
6,1_7,454.5
7,2_9,447.333
8,1_9,442
1,5_6,588
2,1_3,522.2
3,5_8,561.6
4,5_9,521.8
5,2_7,502.4
6,1_7,454.5
7,2_9,447.333
8,1_9,442
1,5_6,588
2,3_5,532
3,1_4,433
4,1_5,520
5,1_6,419.2
6,2_8,442.75
7,1_8,398.2
8,1_9,442
1,1_2,449.4
2,3_5,532
3,5_8,561.6
4,3_7,525.8
5,1_6,419.2
6,3_9,524
7,1_8,398.2
8,1_9,442
1,5_6,588
2,7_9,579.6
3,2_5,486.6
4,1_5,520
5,2_7,502.4
6,1_7,454.5
7,1_8,398.2
8,1_9,442
1,1_2,449.4
2,7_9,579.6
3,1_4,433
4,5_9,521.8
5,3_8,456
6,2_8,442.75
7,1_8,398.2
8,1_9,442
1,6_7,564.25
2,3_5,532
3,4_7,482
4,2_6,526.2
5,4_9,462.8
6,1_7,454.5
7,1_8,398.2
8,1_9,442
1,2_3,504.4
2,5_7,509.333
3,2_5,486.6
4,3_7,525.8
5,3_8,456
6,1_7,454.5
7,2_9,447.333
8,1_9,442
1,8_9,585.75
2,7_9,579.6
3,5_8,561.6
4,2_6,526.2
5,1_6,419.2
6,3_9,524
7,2_9,447.333
8,1_9,442
1,1_2,449.4
2,7_9,579.6
3,6_9,525.4
4,3_7,525.8
5,2_7,502.4
6,2_8,442.75
7,2_9,447.333
8,1_9,442
1,2_3,504.4
2,6_8,596
3,3_6,495
4,4_8,603
5,4_9,462.8
6,3_9,524
7,1_8,398.2
8,1_9,442
1,4_5,794.25
2,2_4,496.25
3,4_7,482
4,5_9,521.8
5,1_6,419.2
6,2_8,442.75
7,1_8,398.2
8,1_9,442
1,6_7,564.25
2,5_7,509.333
3,5_8,561.6
4,2_6,526.2
5,4_9,462.8
6,3_9,524
7,1_8,398.2
8,1_9,442
1,8_9,585.75
2,2_4,496.25
3,6_9,525.4
4,3_7,525.8
5,2_7,502.4
6,2_8,442.75
7,1_8,398.2
8,1_9,442
1,5_6,588
2,6_8,596
3,1_4,433
4,4_8,603
5,3_8,456
6,2_8,442.75
7,1_8,398.2
8,1_9,442
1,7_8,695.2
2,5_7,509.333
3,3_6,495
4,4_8,603
5,1_6,419.2
6,1_7,454.5
7,1_8,398.2
8,1_9,442
1,6_7,564.25
2,7_9,579.6
3,4_7,482
4,1_5,520
5,3_8,456
6,2_8,442.75
7,1_8,398.2
8,1_9,442
1,2_3,504.4
2,6_8,596
3,5_8,561.6
4,3_7,525.8
5,3_8,456
6,3_9,524
7,2_9,447.333
8,1_9,442
1,5_6,588
2,1_3,522.2
3,2_5,486.6
4,5_9,521.8
5,3_8,456
6,2_8,442.75
7,1_8,398.2
8,1_9,442
1,2_3,504.4
2,4_6,614.4
3,6_9,525.4
4,2_6,526.2
5,4_9,462.8
6,2_8,442.75
7,2_9,447.333
8,1_9,442
1,8_9,585.75
2,1_3,522.2
3,2_5,486.6
4,3_7,525.8
5,4_9,462.8
6,2_8,442.75
7,1_8,398.2
8,1_9,442
1,2_3,504.4
2,1_3,522.2
3,5_8,561.6
4,5_9,521.8
5,4_9,462.8
6,3_9,524
7,1_8,398.2
8,1_9,442
1,3_4,496.4
2,5_7,509.333
3,2_5,486.6
4,2_6,526.2
5,3_8,456
6,1_7,454.5
7,2_9,447.333
8,1_9,442
