distance,pair,value
1,6_7,570.5
2,4_6,557.2
3,6_9,519.6
4,1_5,513.4
5,4_9,524
6,3_9,486
7,2_9,481
8,1_9,464.8
1,1_2,473.8
2,6_8,578.4
3,5_8,566.6
4,1_5,513.4
5,2_7,493.2
6,1_7,482.4
7,1_8,479.2
8,1_9,464.8
1,5_6,686.8
2,2_4,483.6
3,2_5,444.2
4,2_6,497.2
5,4_9,524
6,3_9,486
7,1_8,479.2
8,1_9,464.8
1,8_9,607.75
2,6_8,578.4
3,2_5,444.2
4,1_5,513.4
5,2_7,493.2
6,3_9,486
7,1_8,479.2
8,1_9,464.8
1,4_5,500.2
2,7_9,573.8
3,6_9,519.6
4,1_5,513.4
5,2_7,493.2
6,3_9,486
7,2_9,481
8,1_9,464.8
1,5_6,686.8
2,5_7,645.8
3,1_4,452.6
4,1_5,513.4
5,2_7,493.2
6,1_7,482.4
7,2_9,481
8,1_9,464.8
1,1_2,473.8
2,3_5,545.8
3,5_8,566.6
4,3_7,479.2
5,3_8,516.4
6,3_9,486
7,1_8,479.2
8,1_9,464.8
1,6_7,570.5
2,6_8,578.4
3,1_4,452.6
4,2_6,497.2
5,2_7,493.2
6,1_7,482.4
7,1_8,479.2
8,1_9,464.8
1,1_2,473.8
2,4_6,557.2
3,4_7,504
4,5_9,497.4
5,3_8,516.4
6,1_7,482.4
7,1_8,479.2
8,1_9,464.8
1,1_2,473.8
2,6_8,578.4
3,2_5,444.2
4,5_9,497.4
5,4_9,524
6,3_9,486
7,1_8,479.2
8,1_9,464.8
1,1_2,473.8
2,2_4,483.6
3,2_5,444.2
4,5_9,497.4
5,3_8,516.4
6,3_9,486
7,2_9,481
8,1_9,464.8
1,1_2,473.8
2,4_6,557.2
3,4_7,504
4,2_6,497.2
5,1_6,469
6,2_8,487.8
7,2_9,481
8,1_9,464.8
1,7_8,632
2,1_3,453
3,3_6,505.4
4,4_8,528.4
5,4_9,524
6,3_9,486
7,1_8,479.2
8,1_9,464.8
1,4_5,500.2
2,7_9,573.8
3,3_6,505.4
4,3_7,479.2
5,1_6,469
6,2_8,487.8
7,2_9,481
8,1_9,464.8
1,3_4,480.8
2,7_9,573.8
3,1_4,452.6
4,5_9,497.4
5,2_7,493.2
6,1_7,482.4
7,2_9,481
8,1_9,464.8
1,5_6,686.8
2,6_8,578.4
3,6_9,519.6
4,3_7,479.2
5,4_9,524
6,3_9,486
7,2_9,481
8,1_9,464.8
1,5_6,686.8
2,4_6,557.2
3,5_8,566.6
4,3_7,479.2
5,3_8,516.4
6,2_8,487.8
7,2_9,481
8,1_9,464.8
1,6_7,570.5
2,3_5,545.8
3,2_5,444.2
4,3_7,479.2
5,3_8,516.4
6,2_8,487.8
7,1_8,479.2
8,1_9,464.8
1,2_3,598.8
2,7_9,573.8
3,4_7,504
4,5_9,497.4
5,3_8,516.4
6,3_9,486
7,2_9,481
8,1_9,464.8
1,7_8,632
2,5_7,645.8
3,2_5,444.2
4,5_9,497.4
5,2_7,493.2
6,2_8,487.8
7,1_8,479.2
8,1_9,464.8
1,4_5,500.2
2,7_9,573.8
3,2_5,444.2
4,4_8,528.4
5,2_7,493.2
6,3_9,486
7,2_9,481
8,1_9,464.8
1,3_4,480.8
2,1_3,453
3,5_8,566.6
4,2_6,497.2
5,1_6,469
6,3_9,486
7,2_9,481
8,1_9,464.8
1,2_3,598.8
2,6_8,578.4
3,6_9,519.6
4,2_6,497.2
5,1_6,469
6,1_7,482.4
7,2_9,481
8,1_9,464.8
1,7_8,632
2,2_4,483.6
3,3_6,505.4
4,5_9,497.4
5,2_7,493.2
6,2_8,487.8
7,2_9,481
8,1_9,464.8
1,1_2,473.8
2,6_8,578.4
3,1_4,452.6
4,2_6,497.2
5,4_9,524
6,1_7,482.4
7,2_9,481
8,1_9,464.8
1,3_4,480.8
2,2_4,483.6
3,1_4,452.6
4,5_9,497.4
5,1_6,469
6,3_9,486
7,2_9,481
8,1_9,464.8
1,1_2,473.8
2,7_9,573.8
3,2_5,444.2
4,1_5,513.4
5,3_8,516.4
6,2_8,487.8
7,2_9,481
8,1_9,464.8
1,8_9,607.75
2,3_5,545.8
3,4_7,504
4,4_8,528.4
5,1_6,469
6,1_7,482.4
7,1_8,479.2
8,1_9,464.8
1,6_7,570.5
2,5_7,645.8
3,2_5,444.2
4,1_5,513.4
5,1_6,469
6,1_7,482.4
7,1_8,479.2
8,1_9,464.8
1,1_2,473.8
2,1_3,453
3,1_4,452.6
4,4_8,528.4
5,1_6,469
6,3_9,486
7,1_8,479.2
8,1_9,464.8
1,2_3,598.8
2,2_4,483.6
3,4_7,504
4,4_8,528.4
5,3_8,516.4
6,2_8,487.8
7,1_8,479.2
8,1_9,464.8
1,6_7,570.5
2,5_7,645.8
3,6_9,519.6
4,3_7,479.2
5,4_9,524
6,1_7,482.4
7,1_8,479.2
8,1_9,464.8
1,5_6,686.8
2,5_7,645.8
3,2_5,444.2
4,1_5,513.4
5,3_8,516.4
6,2_8,487.8
7,2_9,481
8,1_9,464.8
1,1_2,473.8
2,3_5,545.8
3,1_4,452.6
4,1_5,513.4
5,4_9,524
6,3_9,486
7,1_8,479.2
8,1_9,464.8
1,2_3,598.8
2,3_5,545.8
3,1_4,452.6
4,2_6,497.2
5,1_6,469
6,1_7,482.4
7,1_8,479.2
8,1_9,464.8
1,5_6,686.8
2,5_7,645.8
3,4_7,504
4,3_7,479.2
5,1_6,469
6,3_9,486
7,2_9,481
8,1_9,464.8
1,1_2,473.8
2,5_7,645.8
3,1_4,452.6
4,3_7,479.2
5,1_6,469
6,3_9,486
7,2_9,481
8,1_9,464.8
1,4_5,500.2
2,4_6,557.2
3,5_8,566.6
4,5_9,497.4
5,3_8,516.4
6,2_8,487.8
7,2_9,481
8,1_9,464.8
1,2_3,598.8
2,5_7,645.8
3,5_8,566.6
4,1_5,513.4
5,2_7,493.2
6,3_9,486
7,2_9,481
8,1_9,464.8
1,2_3,598.8
2,2_4,483.6
3,2_5,444.2
4,3_7,479.2
5,3_8,516.4
6,3_9,486
7,2_9,481
8,1_9,464.8
1,2_3,598.8
2,5_7,645.8
3,6_9,519.6
4,1_5,513.4
5,2_7,493.2
6,1_7,482.4
7,1_8,479.2
8,1_9,464.8
1,7_8,632
2,4_6,557.2
3,2_5,444.2
4,2_6,497.2
5,2_7,493.2
6,1_7,482.4
7,1_8,479.2
8,1_9,464.8
1,5_6,686.8
2,5_7,645.8
3,5_8,566.6
4,2_6,497.2
5,3_8,516.4
6,1_7,482.4
7,1_8,479.2
8,1_9,464.8
1,2_3,598.8
2,6_8,578.4
3,6_9,519.6
4,5_9,497.4
5,2_7,493.2
6,1_7,482.4
7,1_8,479.2
8,1_9,464.8
1,4_5,500.2
2,3_5,545.8
3,4_7,504
4,5_9,497.4
5,4_9,524
6,2_8,487.8
7,1_8,479.2
8,1_9,464.8
1,2_3,598.8
2,2_4,483.6
3,1_4,452.6
4,5_9,497.4
5,4_9,524
6,2_8,487.8
7,1_8,479.2
8,1_9,464.8
1,4_5,500.2
2,4_6,557.2
3,6_9,519.6
4,2_6,497.2
5,1_6,469
6,3_9,486
7,1_8,479.2
8,1_9,464.8
1,4_5,500.2
2,5_7,645.8
3,1_4,452.6
4,1_5,513.4
5,1_6,469
6,2_8,487.8
7,1_8,479.2
8,1_9,464.8
1,5_6,686.8
2,1_3,453
3,3_6,505.4
4,2_6,497.2
5,4_9,524
6,3_9,486
7,1_8,479.2
8,1_9,464.8
1,8_9,607.75
2,1_3,453
3,1_4,452.6
4,4_8,528.4
5,4_9,524
6,2_8,487.8
7,2_9,481
8,1_9,464.8
1,4_5,500.2
2,5_7,645.8
3,6_9,519.6
4,2_6,497.2
5,4_9,524
6,3_9,486
7,2_9,481
8,1_9,464.8
1,2_3,598.8
2,1_3,453
3,3_6,505.4
4,2_6,497.2
5,3_8,516.4
6,1_7,482.4
7,2_9,481
8,1_9,464.8
1,5_6,686.8
2,7_9,573.8
3,1_4,452.6
4,4_8,528.4
5,4_9,524
6,3_9,486
7,1_8,479.2
8,1_9,464.8
1,4_5,500.2
2,1_3,453
3,6_9,519.6
4,1_5,513.4
5,4_9,524
6,2_8,487.8
7,1_8,479.2
8,1_9,464.8
1,4_5,500.2
2,1_3,453
3,3_6,505.4
4,2_6,497.2
5,2_7,493.2
6,2_8,487.8
7,2_9,481
8,1_9,464.8
1,4_5,500.2
2,5_7,645.8
3,5_8,566.6
4,5_9,497.4
5,3_8,516.4
6,2_8,487.8
7,1_8,479.2
8,1_9,464.8
1,6_7,570.5
2,4_6,557.2
3,4_7,504
4,1_5,513.4
5,4_9,524
6,2_8,487.8
7,2_9,481
8,1_9,464.8
1,2_3,598.8
2,7_9,573.8
3,4_7,504
4,1_5,513.4
5,4_9,524
6,2_8,487.8
7,2_9,481
8,1_9,464.8
1,5_6,686.8
2,7_9,573.8
3,4_7,504
4,1_5,513.4
5,2_7,493.2
6,1_7,482.4
7,2_9,481
8,1_9,464.8
1,2_3,598.8
2,4_6,557.2
3,3_6,505.4
4,1_5,513.4
5,2_7,493.2
6,3_9,486
7,1_8,479.2
8,1_9,464.8
1,3_4,480.8
2,1_3,453
3,3_6,505.4
4,5_9,497.4
5,3_8,516.4
6,3_9,486
7,2_9,481
8,1_9,464.8
1,2_3,598.8
2,7_9,573.8
3,6_9,519.6
4,2_6,497.2
5,3_8,516.4
6,2_8,487.8
7,1_8,479.2
8,1_9,464.8
1,6_7,570.5
2,3_5,545.8
3,4_7,504
4,4_8,528.4
5,2_7,493.2
6,3_9,486
7,2_9,481
8,1_9,464.8
1,8_9,607.75
2,6_8,578.4
3,1_4,452.6
4,4_8,528.4
5,1_6,469
6,1_7,482.4
7,1_8,479.2
8,1_9,464.8
1,3_4,480.8
2,2_4,483.6
3,3_6,505.4
4,2_6,497.2
5,4_9,524
6,3_9,486
7,1_8,479.2
8,1_9,464.8
1,5_6,686.8
2,5_7,645.8
3,4_7,504
4,2_6,497.2
5,2_7,493.2
6,1_7,482.4
7,1_8,479.2
8,1_9,464.8
1,4_5,500.2
2,5_7,645.8
3,2_5,444.2
4,4_8,528.4
5,1_6,469
6,2_8,487.8
7,2_9,481
8,1_9,464.8
1,7_8,632
2,1_3,453
3,4_7,504
4,5_9,497.4
5,1_6,469
6,2_8,487.8
7,2_9,481
8,1_9,464.8
1,2_3,598.8
2,2_4,483.6
3,5_8,566.6
4,4_8,528.4
5,1_6,469
6,3_9,486
7,2_9,481
8,1_9,464.8
1,5_6,686.8
2,6_8,578.4
3,4_7,504
4,3_7,479.2
5,4_9,524
6,3_9,486
7,1_8,479.2
8,1_9,464.8
1,8_9,607.75
2,1_3,453
3,1_4,452.6
4,4_8,528.4
5,3_8,516.4
6,3_9,486
7,1_8,479.2
8,1_9,464.8
1,2_3,598.8
2,1_3,453
3,5_8,566.6
4,5_9,497.4
5,4_9,524
6,1_7,482.4
7,1_8,479.2
8,1_9,464.8
1,1_2,473.8
2,1_3,453
3,2_5,444.2
4,3_7,479.2
5,1_6,469
6,2_8,487.8
7,2_9,481
8,1_9,464.8
1,3_4,480.8
2,7_9,573.8
3,3_6,505.4
4,4_8,528.4
5,2_7,493.2
6,3_9,486
7,1_8,479.2
8,1_9,464.8
1,7_8,632
2,1_3,453
3,4_7,504
4,3_7,479.2
5,3_8,516.4
6,2_8,487.8
7,2_9,481
8,1_9,464.8
1,3_4,480.8
2,5_7,645.8
3,3_6,505.4
4,5_9,497.4
5,1_6,469
6,1_7,482.4
7,2_9,481
8,1_9,464.8
1,1_2,473.8
2,5_7,645.8
3,6_9,519.6
4,1_5,513.4
5,1_6,469
6,1_7,482.4
7,1_8,479.2
8,1_9,464.8
1,6_7,570.5
2,1_3,453
3,3_6,505.4
4,4_8,528.4
5,4_9,524
6,1_7,482.4
7,1_8,479.2
8,1_9,464.8
1,7_8,632
2,3_5,545.8
3,1_4,452.6
4,1_5,513.4
5,1_6,469
6,2_8,487.8
7,1_8,479.2
8,1_9,464.8
1,2_3,598.8
2,6_8,578.4
3,6_9,519.6
4,2_6,497.2
5,1_6,469
6,1_7,482.4
7,1_8,479.2
8,1_9,464.8
1,5_6,686.8
2,2_4,483.6
3,6_9,519.6
4,5_9,497.4
5,3_8,516.4
6,2_8,487.8
7,2_9,481
8,1_9,464.8
1,7_8,632
2,3_5,545.8
3,6_9,519.6
4,3_7,479.2
5,1_6,469
6,2_8,487.8
7,1_8,479.2
8,1_9,464.8
1,1_2,473.8
2,6_8,578.4
3,5_8,566.6
4,2_6,497.2
5,4_9,524
6,2_8,487.8
7,2_9,481
8,1_9,464.8
1,6_7,570.5
2,4_6,557.2
3,1_4,452.6
4,1_5,513.4
5,3_8,516.4
6,3_9,486
7,2_9,481
8,1_9,464.8
1,8_9,607.75
2,7_9,573.8
3,4_7,504
4,1_5,513.4
5,2_7,493.2
6,3_9,486
7,2_9,481
8,1_9,464.8
1,3_4,480.8
2,7_9,573.8
3,1_4,452.6
4,5_9,497.4
5,4_9,524
6,1_7,482.4
7,2_9,481
8,1_9,464.8
1,7_8,632
2,2_4,483.6
3,2_5,444.2
4,5_9,497.4
5,2_7,493.2
6,2_8,487.8
7,1_8,479.2
8,1_9,464.8
1,8_9,607.75
2,6_8,578.4
3,4_7,504
4,5_9,497.4
5,2_7,493.2
6,2_8,487.8
7,1_8,479.2
8,1_9,464.8
1,5_6,686.8
2,6_8,578.4
3,1_4,452.6
4,4_8,528.4
5,3_8,516.4
6,3_9,486
7,2_9,481
8,1_9,464.8
1,4_5,500.2
2,4_6,557.2
3,4_7,504
4,1_5,513.4
5,3_8,516.4
6,2_8,487.8
7,2_9,481
8,1_9,464.8
1,7_8,632
2,5_7,645.8
3,4_7,504
4,2_6,497.2
5,2_7,493.2
6,2_8,487.8
7,2_9,481
8,1_9,464.8
1,1_2,473.8
2,6_8,578.4
3,4_7,504
4,1_5,513.4
5,4_9,524
6,2_8,487.8
7,2_9,481
8,1_9,464.8
1,2_3,598.8
2,6_8,578.4
3,3_6,505.4
4,2_6,497.2
5,2_7,493.2
6,1_7,482.4
7,1_8,479.2
8,1_9,464.8
1,6_7,570.5
2,4_6,557.2
3,1_4,452.6
4,2_6,497.2
5,4_9,524
6,1_7,482.4
7,2_9,481
8,1_9,464.8
1,7_8,632
2,2_4,483.6
3,2_5,444.2
4,4_8,528.4
5,1_6,469
6,2_8,487.8
7,1_8,479.2
8,1_9,464.8
1,4_5,500.2
2,7_9,573.8
3,1_4,452.6
4,1_5,513.4
5,4_9,524
6,2_8,487.8
7,2_9,481
8,1_9,464.8
1,2_3,598.8
2,3_5,545.8
3,4_7,504
4,4_8,528.4
5,2_7,493.2
6,2_8,487.8
7,2_9,481
8,1_9,464.8
1,2_3,598.8
2,4_6,557.2
3,4_7,504
4,2_6,497.2
5,2_7,493.2
6,3_9,486
7,1_8,479.2
8,1_9,464.8
1,3_4,480.8
2,1_3,453
3,1_4,452.6
4,5_9,497.4
5,3_8,516.4
6,3_9,486
7,2_9,481
8,1_9,464.8
1,3_4,480.8
2,3_5,545.8
3,3_6,505.4
4,5_9,497.4
5,2_7,493.2
6,3_9,486
7,1_8,479.2
8,1_9,464.8
1,1_2,473.8
2,3_5,545.8
3,6_9,519.6
4,4_8,528.4
5,4_9,524
6,1_7,482.4
7,2_9,481
8,1_9,464.8
1,8_9,607.75
2,5_7,645.8
3,3_6,505.4
4,2_6,497.2
5,4_9,524
6,1_7,482.4
7,1_8,479.2
8,1_9,464.8
1,1_2,473.8
2,2_4,483.6
3,4_7,504
4,2_6,497.2
5,4_9,524
6,3_9,486
7,1_8,479.2
8,1_9,464.8
1,7_8,632
2,1_3,453
3,4_7,504
4,5_9,497.4
5,4_9,524
6,3_9,486
7,2_9,481
8,1_9,464.8
1,4_5,500.2
2,1_3,453
3,3_6,505.4
4,1_5,513.4
5,3_8,516.4
6,2_8,487.8
7,1_8,479.2
8,1_9,464.8
1,5_6,686.8
2,5_7,645.8
3,3_6,505.4
4,1_5,513.4
5,2_7,493.2
6,3_9,486
7,2_9,481
8,1_9,464.8
1,1_2,473.8
2,5_7,645.8
3,6_9,519.6
4,5_9,497.4
5,1_6,469
6,2_8,487.8
7,1_8,479.2
8,1_9,464.8
1,2_3,598.8
2,3_5,545.8
3,4_7,504
4,1_5,513.4
5,2_7,493.2
6,1_7,482.4
7,2_9,481
8,1_9,464.8
1,3_4,480.8
2,1_3,453
3,4_7,504
4,4_8,528.4
5,3_8,516.4
6,1_7,482.4
7,2_9,481
8,1_9,464.8
1,8_9,607.75
2,5_7,645.8
3,4_7,504
4,2_6,497.2
5,4_9,524
6,1_7,482.4
7,2_9,481
8,1_9,464.8
1,3_4,480.8
2,6_8,578.4
3,4_7,504
4,2_6,497.2
5,3_8,516.4
6,2_8,487.8
7,2_9,481
8,1_9,464.8
1,8_9,607.75
2,4_6,557.2
3,5_8,566.6
4,2_6,497.2
5,4_9,524
6,1_7,482.4
7,1_8,479.2
8,1_9,464.8
1,3_4,480.8
2,5_7,645.8
3,2_5,444.2
4,1_5,513.4
5,2_7,493.2
6,2_8,487.8
7,1_8,479.2
8,1_9,464.8
1,5_6,686.8
2,1_3,453
3,5_8,566.6
4,5_9,497.4
5,2_7,493.2
6,1_7,482.4
7,2_9,481
8,1_9,464.8
1,1_2,473.8
2,6_8,578.4
3,5_8,566.6
4,3_7,479.2
5,4_9,524
6,3_9,486
7,2_9,481
8,1_9,464.8
1,2_3,598.8
2,2_4,483.6
3,1_4,452.6
4,3_7,479.2
5,4_9,524
6,3_9,486
7,1_8,479.2
8,1_9,464.8
1,3_4,480.8
2,3_5,545.8
3,3_6,505.4
4,2_6,497.2
5,3_8,516.4
6,2_8,487.8
7,2_9,481
8,1_9,464.8
1,3_4,480.8
2,3_5,545.8
3,6_9,519.6
4,3_7,479.2
5,3_8,516.4
6,2_8,487.8
7,1_8,479.2
8,1_9,464.8
1,5_6,686.8
2,1_3,453
3,1_4,452.6
4,5_9,497.4
5,4_9,524
6,2_8,487.8
7,1_8,479.2
8,1_9,464.8
1,4_5,500.2
2,5_7,645.8
3,3_6,505.4
4,3_7,479.2
5,3_8,516.4
6,2_8,487.8
7,2_9,481
8,1_9,464.8
1,4_5,500.2
2,1_3,453
3,2_5,444.2
4,1_5,513.4
5,3_8,516.4
6,2_8,487.8
7,1_8,479.2
8,1_9,464.8
1,5_6,686.8
2,3_5,545.8
3,6_9,519.6
4,2_6,497.2
5,4_9,524
6,2_8,487.8
7,2_9,481
8,1_9,464.8
1,6_7,570.5
2,7_9,573.8
3,5_8,566.6
4,4_8,528.4
5,4_9,524
6,3_9,486
7,1_8,479.2
8,1_9,464.8
1,8_9,607.75
2,4_6,557.2
3,3_6,505.4
4,1_5,513.4
5,3_8,516.4
6,2_8,487.8
7,2_9,481
8,1_9,464.8
1,4_5,500.2
2,6_8,578.4
3,4_7,504
4,3_7,479.2
5,2_7,493.2
6,1_7,482.4
7,1_8,479.2
8,1_9,464.8
1,5_6,686.8
2,1_3,453
3,4_7,504
4,1_5,513.4
5,2_7,493.2
6,1_7,482.4
7,2_9,481
8,1_9,464.8
1,4_5,500.2
2,4_6,557.2
3,2_5,444.2
4,5_9,497.4
5,1_6,469
6,1_7,482.4
7,2_9,481
8,1_9,464.8
1,5_6,686.8
2,1_3,453
3,3_6,505.4
4,2_6,497.2
5,4_9,524
6,2_8,487.8
7,2_9,481
8,1_9,464.8
1,2_3,598.8
2,5_7,645.8
3,6_9,519.6
4,5_9,497.4
5,2_7,493.2
6,3_9,486
7,1_8,479.2
8,1_9,464.8
1,6_7,570.5
2,1_3,453
3,6_9,519.6
4,5_9,497.4
5,4_9,524
6,1_7,482.4
7,1_8,479.2
8,1_9,464.8
1,5_6,686.8
2,4_6,557.2
3,6_9,519.6
4,4_8,528.4
5,4_9,524
6,2_8,487.8
7,2_9,481
8,1_9,464.8
1,2_3,598.8
2,1_3,453
3,3_6,505.4
4,1_5,513.4
5,2_7,493.2
6,3_9,486
7,1_8,479.2
8,1_9,464.8
1,1_2,473.8
2,3_5,545.8
3,3_6,505.4
4,5_9,497.4
5,1_6,469
6,3_9,486
7,1_8,479.2
8,1_9,464.8
1,4_5,500.2
2,2_4,483.6
3,1_4,452.6
4,1_5,513.4
5,2_7,493.2
6,1_7,482.4
7,2_9,481
8,1_9,464.8
1,4_5,500.2
2,2_4,483.6
3,2_5,444.2
4,4_8,528.4
5,1_6,469
6,1_7,482.4
7,1_8,479.2
8,1_9,464.8
1,3_4,480.8
2,2_4,483.6
3,5_8,566.6
4,3_7,479.2
5,2_7,493.2
6,2_8,487.8
7,1_8,479.2
8,1_9,464.8
1,3_4,480.8
2,2_4,483.6
3,5_8,566.6
4,3_7,479.2
5,3_8,516.4
6,2_8,487.8
7,1_8,479.2
8,1_9,464.8
1,3_4,480.8
2,1_3,453
3,1_4,452.6
4,1_5,513.4
5,2_7,493.2
6,1_7,482.4
7,2_9,481
8,1_9,464.8
1,7_8,632
2,7_9,573.8
3,3_6,505.4
4,2_6,497.2
5,2_7,493.2
6,1_7,482.4
7,1_8,479.2
8,1_9,464.8
1,3_4,480.8
2,1_3,453
3,2_5,444.2
4,4_8,528.4
5,3_8,516.4
6,2_8,487.8
7,1_8,479.2
8,1_9,464.8
1,3_4,480.8
2,4_6,557.2
3,4_7,504
4,2_6,497.2
5,3_8,516.4
6,2_8,487.8
7,2_9,481
8,1_9,464.8
1,8_9,607.75
2,6_8,578.4
3,4_7,504
4,3_7,479.2
5,3_8,516.4
6,1_7,482.4
7,1_8,479.2
8,1_9,464.8
1,7_8,632
2,6_8,578.4
3,6_9,519.6
4,5_9,497.4
5,2_7,493.2
6,1_7,482.4
7,1_8,479.2
8,1_9,464.8
1,3_4,480.8
2,2_4,483.6
3,1_4,452.6
4,1_5,513.4
5,1_6,469
6,1_7,482.4
7,1_8,479.2
8,1_9,464.8
1,4_5,500.2
2,3_5,545.8
3,4_7,504
4,5_9,497.4
5,4_9,524
6,3_9,486
7,1_8,479.2
8,1_9,464.8
1,8_9,607.75
2,7_9,573.8
3,1_4,452.6
4,1_5,513.4
5,1_6,469
6,3_9,486
7,2_9,481
8,1_9,464.8
1,7_8,632
2,5_7,645.8
3,1_4,452.6
4,5_9,497.4
5,2_7,493.2
6,2_8,487.8
7,1_8,479.2
8,1_9,464.8
1,8_9,607.75
2,1_3,453
3,2_5,444.2
4,1_5,513.4
5,1_6,469
6,1_7,482.4
7,1_8,479.2
8,1_9,464.8
1,7_8,632
2,7_9,573.8
3,2_5,444.2
4,5_9,497.4
5,3_8,516.4
6,1_7,482.4
7,2_9,481
8,1_9,464.8
1,3_4,480.8
2,1_3,453
3,5_8,566.6
4,3_7,479.2
5,1_6,469
6,2_8,487.8
7,1_8,479.2
8,1_9,464.8
1,7_8,632
2,6_8,578.4
3,2_5,444.2
4,1_5,513.4
5,2_7,493.2
6,2_8,487.8
7,1_8,479.2
8,1_9,464.8
1,2_3,598.8
2,2_4,483.6
3,4_7,504
4,2_6,497.2
5,1_6,469
6,2_8,487.8
7,2_9,481
8,1_9,464.8
1,8_9,607.75
2,6_8,578.4
3,1_4,452.6
4,4_8,528.4
5,1_6,469
6,1_7,482.4
7,1_8,479.2
8,1_9,464.8
1,4_5,500.2
2,3_5,545.8
3,1_4,452.6
4,5_9,497.4
5,3_8,516.4
6,2_8,487.8
7,2_9,481
8,1_9,464.8
1,1_2,473.8
2,3_5,545.8
3,4_7,504
4,3_7,479.2
5,3_8,516.4
6,2_8,487.8
7,2_9,481
8,1_9,464.8
1,8_9,607.75
2,4_6,557.2
3,6_9,519.6
4,4_8,528.4
5,4_9,524
6,3_9,486
7,2_9,481
8,1_9,464.8
1,3_4,480.8
2,3_5,545.8
3,5_8,566.6
4,2_6,497.2
5,3_8,516.4
6,3_9,486
7,2_9,481
8,1_9,464.8
1,1_2,473.8
2,5_7,645.8
3,3_6,505.4
4,1_5,513.4
5,2_7,493.2
6,1_7,482.4
7,1_8,479.2
8,1_9,464.8
1,7_8,632
2,7_9,573.8
3,2_5,444.2
4,3_7,479.2
5,2_7,493.2
6,1_7,482.4
7,1_8,479.2
8,1_9,464.8
1,7_8,632
2,3_5,545.8
3,1_4,452.6
4,2_6,497.2
5,2_7,493.2
6,1_7,482.4
7,1_8,479.2
8,1_9,464.8
1,6_7,570.5
2,5_7,645.8
3,5_8,566.6
4,4_8,528.4
5,3_8,516.4
6,3_9,486
7,1_8,479.2
8,1_9,464.8
1,6_7,570.5
2,1_3,453
3,5_8,566.6
4,1_5,513.4
5,3_8,516.4
6,1_7,482.4
7,2_9,481
8,1_9,464.8
1,2_3,598.8
2,2_4,483.6
3,2_5,444.2
4,4_8,528.4
5,1_6,469
6,2_8,487.8
7,1_8,479.2
8,1_9,464.8
1,5_6,686.8
2,2_4,483.6
3,5_8,566.6
4,3_7,479.2
5,4_9,524
6,3_9,486
7,2_9,481
8,1_9,464.8
1,6_7,570.5
2,5_7,645.8
3,4_7,504
4,5_9,497.4
5,2_7,493.2
6,3_9,486
7,2_9,481
8,1_9,464.8
1,8_9,607.75
2,2_4,483.6
3,1_4,452.6
4,1_5,513.4
5,3_8,516.4
6,2_8,487.8
7,2_9,481
8,1_9,464.8
1,4_5,500.2
2,5_7,645.8
3,6_9,519.6
4,4_8,528.4
5,2_7,493.2
6,3_9,486
7,1_8,479.2
8,1_9,464.8
1,6_7,570.5
2,4_6,557.2
3,2_5,444.2
4,4_8,528.4
5,1_6,469
6,2_8,487.8
7,2_9,481
8,1_9,464.8
1,6_7,570.5
2,6_8,578.4
3,4_7,504
4,5_9,497.4
5,3_8,516.4
6,1_7,482.4
7,2_9,481
8,1_9,464.8
1,3_4,480.8
2,5_7,645.8
3,3_6,505.4
4,4_8,528.4
5,4_9,524
6,2_8,487.8
7,1_8,479.2
8,1_9,464.8
1,2_3,598.8
2,2_4,483.6
3,2_5,444.2
4,3_7,479.2
5,1_6,469
6,3_9,486
7,2_9,481
8,1_9,464.8
1,8_9,607.75
2,2_4,483.6
3,5_8,566.6
4,1_5,513.4
5,2_7,493.2
6,1_7,482.4
7,1_8,479.2
8,1_9,464.8
1,7_8,632
2,6_8,578.4
3,4_7,504
4,2_6,497.2
5,1_6,469
6,3_9,486
7,1_8,479.2
8,1_9,464.8
1,3_4,480.8
2,1_3,453
3,5_8,566.6
4,1_5,513.4
5,4_9,524
6,2_8,487.8
7,2_9,481
8,1_9,464.8
1,1_2,473.8
2,4_6,557.2
3,4_7,504
4,1_5,513.4
5,2_7,493.2
6,2_8,487.8
7,2_9,481
8,1_9,464.8
1,4_5,500.2
2,6_8,578.4
3,5_8,566.6
4,4_8,528.4
5,1_6,469
6,1_7,482.4
7,1_8,479.2
8,1_9,464.8
1,8_9,607.75
2,3_5,545.8
3,6_9,519.6
4,3_7,479.2
5,4_9,524
6,2_8,487.8
7,1_8,479.2
8,1_9,464.8
1,5_6,686.8
2,5_7,645.8
3,6_9,519.6
4,5_9,497.4
5,1_6,469
6,1_7,482.4
7,1_8,479.2
8,1_9,464.8
1,6_7,570.5
2,7_9,573.8
3,4_7,504
4,2_6,497.2
5,4_9,524
6,1_7,482.4
7,1_8,479.2
8,1_9,464.8
1,2_3,598.8
2,7_9,573.8
3,2_5,444.2
4,4_8,528.4
5,2_7,493.2
6,3_9,486
7,1_8,479.2
8,1_9,464.8
1,1_2,473.8
2,6_8,578.4
3,3_6,505.4
4,5_9,497.4
5,1_6,469
6,3_9,486
7,1_8,479.2
8,1_9,464.8
1,2_3,598.8
2,3_5,545.8
3,2_5,444.2
4,2_6,497.2
5,4_9,524
6,1_7,482.4
7,2_9,481
8,1_9,464.8
1,2_3,598.8
2,6_8,578.4
3,4_7,504
4,5_9,497.4
5,2_7,493.2
6,3_9,486
7,1_8,479.2
8,1_9,464.8
1,4_5,500.2
